id,name
1,almond
2,amaretto
3,anchovy
4,anise
5,apple
6,apple juice
7,apricot
8,artichoke
9,arugula
10,asian pear
11,asparagus
12,aspen
13,avocado
14,bacon
15,banana
16,barley
17,basil
18,bass
19,bean
20,beef
21,beef rib
22,beef shank
23,beef tenderloin
24,beer
25,beet
26,bell pepper
27,berry
28,biscuit
29,bitters
30,blackberry
31,blue cheese
32,blueberry
33,boil
34,bok choy
35,bourbon
36,bran
37,brandy
38,bread
39,breadcrumbs
40,brie
41,brine
42,brisket
43,broccoli
44,broccoli rabe
45,brown rice
46,brownie
47,brunch
48,brussel sprout
49,buffalo
50,bulgur
51,burrito
52,butter
53,buttermilk
54,butternut squash
55,butterscotch/caramel
56,cabbage
57,calvados
58,campari
59,candy
60,cantaloupe
61,capers
62,caraway
63,cardamom
64,carrot
65,cashew
66,casserole/gratin
67,cauliflower
68,caviar
69,celery
70,chambord
71,champagne
72,chard
73,chartreuse
74,cheddar
75,cheese
76,cherry
77,chestnut
78,chicken
79,chickpea
80,chile pepper
81,chive
82,chocolate
83,cilantro
84,cinnamon
85,citrus
86,clam
87,clove
88,coconut
89,coffee
90,cognac/armagnac
91,collard greens
92,condiment
93,condiment/spread
94,cookie
95,cookies
96,coriander
97,corn
98,cornmeal
99,cottage cheese
100,couscous
101,crab
102,cranberry
103,cranberry sauce
104,cream cheese
105,creme de cacao
106,crepe
107,cucumber
108,cumin
109,cupcake
110,currant
111,curry
112,custard
113,dairy
114,date
115,dessert
116,dill
117,dip
118,dried fruit
119,duck
120,eau de vie
121,egg
122,egg nog
123,eggplant
124,endive
125,escarole
126,fennel
127,feta
128,fig
129,fish
130,flat bread
131,fontina
132,fortified wine
133,frangelico
134,frittata
135,fritter
136,fruit
137,fruit juice
138,fry
139,game
140,garlic
141,gin
142,ginger
143,goat cheese
144,goose
145,gouda
146,grains
147,grand marnier
148,granola
149,grape
150,grapefruit
151,grappa
152,green bean
153,green onion/scallion
154,ground beef
155,ground lamb
156,guava
157,halibut
158,ham
159,hamburger
160,hazelnut
161,herb
162,hominy/cornmeal/masa
163,honey
164,honeydew
165,horseradish
166,hot pepper
167,hummus
168,ice cream
169,iced coffee
170,iced tea
171,jalapeno
172,jam or jelly
173,jerusalem artichoke
174,kale
175,kirsch
176,kiwi
177,kosher
178,kosher for passover
179,kumquat
180,kwanzaa
181,lamb
182,lamb chop
183,lamb shank
184,lasagna
185,leafy green
186,leek
187,legume
188,lemon
189,lemon juice
190,lemongrass
191,lentil
192,lettuce
193,lima bean
194,lime
195,lime juice
196,lingonberry
197,liqueur
198,lobster
199,lychee
200,macadamia nut
201,macaroni and cheese
202,mango
203,maple syrup
204,margarita
205,marinade
206,marsala
207,marscarpone
208,marshmallow
209,martini
210,mayonnaise
211,meat
212,meatball
213,meatloaf
214,melon
215,mezcal
216,midori
217,milk/cream
218,mint
219,molasses
220,monterey jack
221,mozzarella
223,mushroom
224,mussel
225,mustard
226,mustard greens
227,nectarine
228,noodle
229,nut
230,nutmeg
231,oat
232,oatmeal
233,octopus
234,okra
235,olive
236,omelet
237,onion
238,orange
239,orange juice
240,oregano
241,orzo
242,oyster
244,papaya
245,paprika
246,parmesan
247,parsley
248,parsnip
249,passion fruit
250,pasta
251,pastry
252,pea
253,peach
254,peanut
255,peanut butter
256,pear
257,pecan
258,pepper
259,pernod
260,persimmon
261,phyllo/puff pastry dough
262,pickles
264,pie
265,pine nut
266,pineapple
267,pistachio
268,pizza
269,plantain
270,plum
271,poach
272,poblano
273,pomegranate
274,pomegranate juice
275,poppy
276,pork
277,pork chop
278,pork rib
279,pork tenderloin
280,port
281,pot pie
282,potato
283,potato salad
284,poultry
285,poultry sausage
286,prosciutto
287,prune
288,pumpkin
289,punch
290,quail
291,quiche
292,quinoa
293,rabbit
294,rack of lamb
295,radicchio
296,radish
297,raisin
298,ramekin
299,raspberry
300,raw
301,red wine
302,rhubarb
303,rice
304,ricotta
305,roast
306,root vegetable
307,rosemary
308,rum
309,rutabaga
310,rye
311,saffron
312,sage
313,sake
315,salad dressing
316,salmon
317,salsa
319,sangria
320,sardine
321,sauce
322,sausage
323,saute
324,scallop
325,scotch
327,seed
328,semolina
329,sesame
330,sesame oil
331,shallot
332,shellfish
333,sherry
334,shrimp
335,smoothie
336,snapper
337,sorbet
338,souffle/meringue
339,soup/stew
340,sour cream
341,sourdough
342,soy
343,soy sauce
344,sparkling wine
345,spice
346,spinach
347,spirit
348,spritzer
349,squash
350,squid
351,steak
352,stew
353,strawberry
354,sugar conscious
355,sugar snap pea
356,sweet potato/yam
357,swiss cheese
358,swordfish
359,taco
360,tamarind
361,tangerine
362,tapioca
363,tarragon
364,tart
365,tea
366,tequila
367,thyme
368,tilapia
369,tofu
370,tomatillo
371,tomato
372,tortillas
373,tree nut
374,triple sec
375,tropical fruit
376,trout
377,tuna
378,turnip
379,vanilla
380,veal
381,vegetable
382,venison
383,vermouth
384,vinegar
385,vodka
386,waffle
387,walnut
388,wasabi
389,watercress
390,watermelon
391,whiskey
392,white wine
393,whole wheat
394,wild rice
395,wine
396,wok
397,yellow squash
398,yogurt
399,yuca
400,zucchini
401,turkey
